===2018-04-05 09:00:24.168 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findNotice],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findNotice(com.army.vo.NoticeInfo) throws java.lang.Exception
===2018-04-05 09:00:24.169 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/updateNotice],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.updateNotice(javax.servlet.http.HttpServletRequest,com.army.vo.NoticeInfo) throws java.lang.Exception
===2018-04-05 09:00:24.170 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/findAllNotice],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllNotice() throws java.lang.Exception
===2018-04-05 09:00:24.170 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/regist],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.userRegist(com.army.vo.UserInfo) throws java.lang.Exception
===2018-04-05 09:00:24.170 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/getUser],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.getUser(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
===2018-04-05 09:00:24.171 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/outLogin],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.outLogin(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
===2018-04-05 09:00:24.171 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/page/{pageName}]}" onto public org.springframework.web.servlet.ModelAndView com.army.controller.WebJumpController.pageUrl(java.lang.String)
===2018-04-05 09:00:24.172 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/page/{preFile}/{pageName}]}" onto public org.springframework.web.servlet.ModelAndView com.army.controller.WebJumpController.pageUrl(java.lang.String,java.lang.String)
===2018-04-05 09:00:24.172 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/updateMusic],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.updateMusic(javax.servlet.http.HttpServletRequest,com.army.vo.MusicInfo) throws java.lang.Exception
===2018-04-05 09:00:24.172 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/insertMusics],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.insertMusics(javax.servlet.http.HttpServletRequest,com.army.vo.MusicInfo) throws java.lang.Exception
